Date,Open,High,Low,Close,Adj Close
29-07-2021,0.045,0.045,0.04,0.04,0.04
28-07-2021,0.045,0.045,0.045,0.045,0.045
27-07-2021,0.045,0.045,0.04,0.045,0.045
26-07-2021,0.04,0.045,0.04,0.04,0.04
23-07-2021,0.04,0.045,0.038,0.045,0.045
22-07-2021,0.045,0.045,0.038,0.043,0.043
21-07-2021,0.045,0.045,0.045,0.045,0.045
20-07-2021,0.045,0.045,0.043,0.045,0.045
19-07-2021,0.038,0.04,0.035,0.04,0.04
16-07-2021,0.04,0.04,0.038,0.038,0.038
15-07-2021,0.043,0.043,0.038,0.038,0.038
14-07-2021,0.045,0.045,0.045,0.045,0.045
13-07-2021,0.045,0.05,0.043,0.045,0.045
12-07-2021,0.043,0.043,0.04,0.043,0.043
09-07-2021,0.043,0.043,0.04,0.043,0.043
08-07-2021,0.043,0.043,0.043,0.043,0.043
07-07-2021,0.043,0.045,0.04,0.043,0.043
06-07-2021,0.04,0.043,0.04,0.04,0.04
02-07-2021,0.038,0.04,0.038,0.038,0.038
01-07-2021,0.04,0.04,0.038,0.04,0.04
30-06-2021,0.04,0.04,0.04,0.04,0.04
29-06-2021,0.045,0.045,0.038,0.04,0.04
28-06-2021,0.043,0.043,0.04,0.04,0.04
25-06-2021,0.043,0.043,0.043,0.043,0.043
24-06-2021,0.038,0.043,0.038,0.043,0.043
23-06-2021,0.035,0.04,0.03,0.04,0.04
22-06-2021,0.035,0.038,0.035,0.038,0.038
21-06-2021,0.03,0.033,0.03,0.03,0.03
18-06-2021,0.028,0.03,0.028,0.028,0.028
17-06-2021,0.03,0.03,0.028,0.028,0.028
16-06-2021,0.02,0.035,0.005,0.028,0.028
15-06-2021,0.02,0.02,0.015,0.02,0.02
14-06-2021,0.018,0.02,0.015,0.015,0.015
11-06-2021,0.018,0.018,0.015,0.018,0.018
10-06-2021,0.02,0.02,0.02,0.02,0.02
09-06-2021,0.02,0.02,0.02,0.02,0.02
08-06-2021,0.02,0.02,0.02,0.02,0.02
07-06-2021,0.015,0.02,0.015,0.018,0.018
04-06-2021,0.015,0.015,0.015,0.015,0.015
03-06-2021,0.013,0.018,0.013,0.015,0.015
02-06-2021,0.015,0.015,0.015,0.015,0.015
01-06-2021,0.01,0.01,0.01,0.01,0.01
28-05-2021,0.008,0.008,0.003,0.008,0.008
27-05-2021,0.005,0.005,0.005,0.005,0.005
26-05-2021,0.01,0.01,0.005,0.005,0.005
25-05-2021,0.01,0.01,0.01,0.01,0.01
24-05-2021,0.003,0.003,0.003,0.003,0.003
21-05-2021,0.003,0.003,0.003,0.003,0.003
20-05-2021,0.003,0.003,0.003,0.003,0.003
19-05-2021,0.01,0.01,0.005,0.005,0.005
18-05-2021,0.01,0.01,0.01,0.01,0.01
17-05-2021,0.005,0.005,0.003,0.005,0.005
14-05-2021,0.005,0.005,0.003,0.005,0.005
13-05-2021,0.01,0.01,0.008,0.008,0.008
12-05-2021,0.01,0.01,0.01,0.01,0.01
11-05-2021,0.01,0.01,0.01,0.01,0.01
10-05-2021,0.005,0.005,0.003,0.005,0.005
07-05-2021,0.008,0.008,0.008,0.008,0.008
06-05-2021,0.01,0.01,0.008,0.008,0.008
05-05-2021,0.01,0.01,0.008,0.008,0.008
04-05-2021,0.01,0.015,0.01,0.01,0.01
03-05-2021,0.003,0.008,0.003,0.005,0.005
30-04-2021,0.003,0.003,0.003,0.003,0.003
29-04-2021,0.005,0.008,0.005,0.008,0.008
28-04-2021,0.005,0.01,0.005,0.008,0.008
27-04-2021,0.01,0.01,0.008,0.01,0.01
26-04-2021,0.015,0.015,0.008,0.008,0.008
23-04-2021,0.015,0.015,0.013,0.015,0.015
22-04-2021,0.015,0.018,0.013,0.015,0.015
21-04-2021,0.013,0.015,0.013,0.013,0.013
20-04-2021,0.018,0.018,0.015,0.015,0.015
19-04-2021,0.01,0.015,0.01,0.015,0.015
16-04-2021,0.008,0.01,0.008,0.008,0.008
15-04-2021,0.013,0.013,0.008,0.01,0.01
14-04-2021,0.015,0.015,0.013,0.015,0.015
13-04-2021,0.015,0.015,0.013,0.015,0.015
12-04-2021,0.005,0.01,0.005,0.01,0.01
09-04-2021,0.005,0.008,0.003,0.003,0.003
08-04-2021,0.008,0.008,0.003,0.005,0.005
07-04-2021,0.015,0.015,0.008,0.01,0.01
06-04-2021,0.015,0.015,0.015,0.015,0.015
05-04-2021,0.013,0.015,0.013,0.015,0.015
01-04-2021,0.01,0.01,0.008,0.008,0.008
31-03-2021,0.013,0.013,0.013,0.013,0.013
30-03-2021,0.013,0.015,0.013,0.013,0.013
29-03-2021,0.013,0.015,0.008,0.008,0.008
26-03-2021,0.013,0.015,0.013,0.015,0.015
25-03-2021,0.008,0.015,0.008,0.015,0.015
24-03-2021,0.015,0.015,0.015,0.015,0.015
23-03-2021,0.01,0.01,0.01,0.01,0.01
22-03-2021,0.005,0.005,0.005,0.005,0.005
19-03-2021,0.003,0.01,0.003,0.005,0.005
18-03-2021,0.005,0.005,0.003,0.003,0.003
17-03-2021,0.005,0.015,0.005,0.008,0.008
16-03-2021,0.02,0.02,0.008,0.008,0.008
15-03-2021,0.023,0.023,0.015,0.015,0.015
12-03-2021,0.03,0.03,0.02,0.025,0.025
11-03-2021,0.028,0.035,0.028,0.028,0.028
10-03-2021,0.035,0.035,0.03,0.03,0.03
09-03-2021,0.04,0.04,0.033,0.035,0.035
08-03-2021,0.033,0.035,0.033,0.035,0.035
05-03-2021,0.028,0.03,0.028,0.028,0.028
04-03-2021,0.028,0.033,0.028,0.028,0.028
03-03-2021,0.035,0.035,0.035,0.035,0.035
02-03-2021,0.03,0.038,0.03,0.035,0.035
01-03-2021,0.03,0.035,0.028,0.028,0.028
26-02-2021,0.033,0.035,0.03,0.035,0.035
25-02-2021,0.028,0.04,0.028,0.033,0.033
24-02-2021,0.03,0.03,0.028,0.028,0.028
23-02-2021,0.023,0.023,0.023,0.023,0.023
22-02-2021,0.023,0.028,0.023,0.025,0.025
19-02-2021,0.023,0.025,0.023,0.023,0.023
18-02-2021,0.028,0.035,0.018,0.023,0.023
17-02-2021,0.035,0.035,0.035,0.035,0.035
16-02-2021,0.035,0.035,0.035,0.035,0.035
12-02-2021,0.035,0.035,0.035,0.035,0.035
11-02-2021,0.038,0.038,0.035,0.035,0.035
10-02-2021,0.035,0.035,0.035,0.035,0.035
09-02-2021,0.033,0.033,0.03,0.033,0.033
08-02-2021,0.023,0.028,0.02,0.02,0.02
05-02-2021,0.023,0.025,0.018,0.023,0.023
04-02-2021,0.038,0.038,0.028,0.03,0.03
03-02-2021,0.05,0.05,0.04,0.04,0.04
02-02-2021,0.06,0.06,0.05,0.05,0.05
01-02-2021,0.048,0.05,0.045,0.048,0.048
29-01-2021,0.055,0.055,0.045,0.048,0.048
28-01-2021,0.063,0.063,0.055,0.055,0.055
27-01-2021,0.07,0.07,0.06,0.06,0.06
26-01-2021,0.073,0.073,0.065,0.068,0.068
25-01-2021,0.07,0.07,0.068,0.07,0.07
22-01-2021,0.07,0.07,0.07,0.07,0.07
21-01-2021,0.075,0.075,0.073,0.073,0.073
20-01-2021,0.08,0.08,0.075,0.075,0.075
19-01-2021,0.073,0.075,0.073,0.073,0.073
15-01-2021,0.075,0.075,0.075,0.075,0.075
14-01-2021,0.075,0.078,0.075,0.075,0.075
13-01-2021,0.08,0.08,0.08,0.08,0.08
12-01-2021,0.08,0.08,0.08,0.08,0.08
11-01-2021,0.08,0.08,0.08,0.08,0.08
08-01-2021,0.08,0.08,0.08,0.08,0.08
07-01-2021,0.078,0.083,0.078,0.08,0.08
06-01-2021,0.078,0.078,0.078,0.078,0.078
05-01-2021,0.078,0.08,0.078,0.078,0.078
04-01-2021,0.068,0.073,0.068,0.068,0.068
31-12-2020,0.068,0.068,0.06,0.065,0.065
30-12-2020,0.09,0.09,0.07,0.07,0.07
29-12-2020,0.09,0.09,0.09,0.09,0.09
28-12-2020,0.078,0.083,0.078,0.08,0.08
24-12-2020,0.078,0.078,0.073,0.075,0.075
